Name	r_ratio	r	EarlyStop	Method	PruneRate	Pruned	DtwCalls	DtwBaselineTime	PrepTime	LbTime	DtwTime	TotalTime	Speedup
Epilepsy	0.01	3	1	TI	0.985401	18630	276	0.214	0	1.361	0	1.361	0.157237
Epilepsy	0.01	3	1	PC	0.985296	18628	278	0.214	0.438	0.32	0.001	0.759	0.28195
Epilepsy	0.01	3	1	MC3	0.984449	18612	294	0.214	0.276	0.185	0.005	0.466	0.459227
Epilepsy	0.01	3	1	MC3E	0.985401	18630	276	0.214	0.27	0.203	0.004	0.477	0.448637

ERing	0.01	1	1	MV	0.93	7533	567	0.014	0	0.001	0.002	0.003	4.66667
ERing	0.01	1	1	P_MV	0.930123	7534	566	0.014	0.001	0.009	0.001	0.011	1.27273
ERing	0.01	1	1	WEB_MV	0.93	7533	567	0.014	0.001	0.015	0	0.016	0.875
ERing	0.01	1	1	MC1	0.902469	7310	790	0.014	0	0.003	0	0.003	4.66667
ERing	0.01	1	1	MC2	0.918148	7437	663	0.014	0	0.004	0	0.004	3.5
ERing	0.01	1	1	TI	0.929136	7526	574	0.014	0	0.135	0.001	0.136	0.102941
ERing	0.01	1	1	PC	0.930247	7535	565	0.014	0.113	0.026	0	0.139	0.100719
ERing	0.01	1	1	MC3	0.920123	7453	647	0.014	0.051	0.006	0.003	0.06	0.233333
ERing	0.01	1	1	MC3E	0.94963	7692	408	0.014	0.045	0.045	0	0.09	0.155556

EthanolConcentration	0.01	18	1	MV	0.985024	67615	1028	32.474	0.014	0.14	0.278	0.432	75.1713
EthanolConcentration	0.01	18	1	P_MV	0.988069	67824	819	32.474	0.015	2.122	0.265	2.402	13.5196
EthanolConcentration	0.01	18	1	WEB_MV	0.986291	67702	941	32.474	0.026	3.093	0.261	3.38	9.60769
EthanolConcentration	0.01	18	1	MC1	0.957709	65740	2903	32.474	0.012	0.098	0.627	0.737	44.0624
EthanolConcentration	0.01	18	1	MC2	0.981091	67345	1298	32.474	0.017	0.267	0.344	0.628	51.7102
Name	r_ratio	r	EarlyStop	Method	PruneRate	Pruned	DtwCalls	DtwBaselineTime	PrepTime	LbTime	DtwTime	TotalTime	Speedup
